trigram,count
PROPN NUM NOUN,100625
PROPN NUM SCONJ,4886
NUM SCONJ VERB,898
SCONJ VERB SCONJ,1130
SCONJ NOUN ADP,11361
ADJ ADV ADP,5818
ADP CCONJ PRON,1055
NUM PROPN AUX,10006
PUNCT VERB X,1734
VERB X PUNCT,876
X PUNCT VERB,3734
NOUN PROPN NUM,46828
ADJ NOUN INTJ,387
NOUN INTJ PUNCT,944
INTJ PUNCT ADV,357
NUM PROPN PROPN,573119
NOUN CCONJ DET,107515
PROPN NUM DET,21511
NUM DET NOUN,24700
PUNCT PUNCT AUX,21379
AUX PART ADJ,14694
PART ADJ ADP,7493
ADJ ADP SCONJ,1463
ADP SCONJ DET,5510
PUNCT SCONJ X,411
SCONJ X X,86
X NOUN AUX,1017
PUNCT NOUN ADV,16845
ADV ADV AUX,3644
AUX ADV DET,29920
ADP DET AUX,11920
DET AUX VERB,54689
VERB NUM CCONJ,3817
NUM VERB NOUN,15897
NUM SCONJ DET,4856
ADP ADJ ADP,26033
ADJ ADP ADV,3981
ADV ADP ADJ,30888
DET PROPN NOUN,225793
PROPN PUNCT X,20453
PUNCT X PUNCT,26667
X PUNCT PUNCT,8121
PUNCT PUNCT ADV,46996
NUM NOUN PROPN,81408
PUNCT NUM X,3481
NUM X DET,244
X DET ADJ,1584
NOUN AUX NOUN,21991
NOUN SCONJ DET,42310
ADJ AUX ADJ,1764
NOUN CCONJ AUX,42173
CCONJ AUX AUX,8973
ADV ADP SCONJ,1117
ADP SCONJ CCONJ,459
SCONJ CCONJ PART,1039
CCONJ PART ADJ,1148
NOUN PUNCT X,23087
X X DET,768
NUM PROPN ADP,51438
CCONJ NUM PROPN,11951
NUM PROPN VERB,21966
NOUN PART DET,2222
PART DET DET,965
ADP NOUN ADJ,17562
ADJ ADP X,518
ADP X ADV,139
X ADV PUNCT,1040
PUNCT AUX AUX,14320
ADP ADP PRON,19360
PRON NOUN ADV,13501
NOUN ADV SCONJ,3412
ADJ PUNCT VERB,28889
PRON NOUN AUX,50739
AUX PUNCT NOUN,3400
DET ADP NOUN,6679
ADP ADV ADJ,18081
AUX ADV PUNCT,11174
PUNCT PART ADJ,1973
PROPN AUX PART,33671
ADP ADP NOUN,32586
NOUN NUM PROPN,74512
NOUN ADP X,4047
NOUN DET AUX,19926
DET AUX AUX,14952
AUX AUX ADV,18244
ADV VERB CCONJ,14860
PROPN AUX ADP,15947
AUX ADP NOUN,23632
NOUN DET PUNCT,4143
PUNCT NOUN PROPN,123687
CCONJ ADP NOUN,16440
PUNCT NOUN ADJ,41182
DET NOUN X,3211
NOUN X ADP,2050
X ADP NOUN,1417
