threshold,fpr,tpr
0.97521710,0.00184000,0.03984000
0.97534341,0.00184000,0.03944000
0.97534001,0.00184000,0.03952000
0.97538221,0.00184000,0.03928000
0.97500348,0.00184000,0.04088000
0.97494841,0.00184000,0.04112000
0.97477168,0.00184000,0.04192000
0.97477990,0.00184000,0.04184000
0.97479874,0.00184000,0.04176000
0.97516018,0.00184000,0.04016000
0.97518516,0.00184000,0.04008000
0.97520411,0.00184000,0.04000000
0.97474867,0.00184000,0.04208000
0.97476065,0.00184000,0.04200000
0.97437912,0.00192000,0.04320000
0.97437716,0.00192000,0.04328000
0.97438443,0.00192000,0.04304000
0.97463256,0.00192000,0.04256000
0.97460133,0.00192000,0.04264000
0.97439462,0.00192000,0.04296000
0.97433925,0.00192000,0.04360000
0.97438014,0.00192000,0.04312000
0.97431201,0.00192000,0.04368000
0.97457743,0.00192000,0.04272000
0.97439492,0.00192000,0.04288000
0.97436482,0.00192000,0.04352000
0.97437197,0.00192000,0.04336000
0.97452331,0.00192000,0.04280000
0.97437149,0.00192000,0.04344000
0.97431016,0.00200000,0.04368000
0.97430861,0.00200000,0.04376000
0.97428280,0.00200000,0.04384000
0.97417259,0.00208000,0.04408000
0.97424430,0.00208000,0.04392000
0.97425121,0.00208000,0.04384000
0.97424340,0.00208000,0.04400000
0.97415209,0.00208000,0.04424000
0.97416931,0.00208000,0.04416000
0.97415018,0.00208000,0.04432000
0.97393680,0.00216000,0.04488000
0.97387117,0.00216000,0.04512000
0.97393394,0.00216000,0.04496000
0.97388625,0.00216000,0.04504000
0.97399139,0.00216000,0.04464000
0.97394991,0.00216000,0.04480000
0.97396797,0.00216000,0.04472000
0.97371465,0.00216000,0.04528000
0.97369665,0.00216000,0.04536000
0.97405034,0.00216000,0.04456000
0.97406060,0.00216000,0.04448000
0.97408336,0.00216000,0.04440000
0.97379881,0.00216000,0.04520000
0.97411996,0.00216000,0.04432000
0.97367102,0.00224000,0.04552000
0.97366536,0.00224000,0.04560000
0.97367597,0.00224000,0.04544000
0.97361439,0.00224000,0.04576000
0.97362989,0.00224000,0.04568000
0.97367948,0.00224000,0.04536000
0.97355270,0.00232000,0.04600000
0.97346330,0.00232000,0.04624000
0.97353554,0.00232000,0.04616000
0.97354668,0.00232000,0.04608000
0.97346061,0.00232000,0.04632000
0.97361362,0.00232000,0.04576000
0.97358322,0.00232000,0.04584000
0.97357225,0.00232000,0.04592000
0.97344434,0.00240000,0.04640000
0.97345144,0.00240000,0.04632000
0.97341871,0.00240000,0.04648000
0.97340423,0.00248000,0.04648000
0.97334498,0.00248000,0.04664000
0.97339195,0.00248000,0.04656000
0.97327763,0.00256000,0.04688000
0.97325414,0.00256000,0.04696000
0.97324657,0.00256000,0.04704000
0.97330421,0.00256000,0.04680000
0.97320604,0.00256000,0.04712000
0.97332293,0.00256000,0.04672000
0.97317469,0.00256000,0.04720000
0.97334063,0.00256000,0.04664000
0.97313911,0.00264000,0.04720000
0.97312999,0.00264000,0.04744000
0.97313017,0.00264000,0.04736000
0.97312170,0.00264000,0.04760000
0.97312737,0.00264000,0.04752000
0.97313482,0.00264000,0.04728000
0.97304374,0.00272000,0.04784000
0.97278613,0.00272000,0.04944000
0.97272104,0.00272000,0.04952000
0.97265750,0.00272000,0.04960000
0.97262889,0.00272000,0.04976000
0.97256809,0.00272000,0.05016000
0.97310448,0.00272000,0.04760000
0.97287965,0.00272000,0.04880000
0.97289568,0.00272000,0.04848000
0.97289383,0.00272000,0.04872000
0.97262400,0.00272000,0.04984000
0.97289556,0.00272000,0.04864000
0.97257286,0.00272000,0.05008000
0.97258985,0.00272000,0.05000000
0.97259730,0.00272000,0.04992000
0.97265089,0.00272000,0.04968000
0.97285664,0.00272000,0.04896000
0.97286338,0.00272000,0.04888000
0.97309160,0.00272000,0.04768000
0.97307152,0.00272000,0.04776000
0.97285157,0.00272000,0.04904000
0.97280067,0.00272000,0.04936000
0.97283721,0.00272000,0.04928000
0.97290933,0.00272000,0.04840000
0.97292209,0.00272000,0.04832000
0.97292554,0.00272000,0.04824000
0.97293979,0.00272000,0.04816000
0.97298932,0.00272000,0.04808000
0.97299147,0.00272000,0.04800000
0.97301620,0.00272000,0.04792000
0.97283971,0.00272000,0.04920000
0.97285062,0.00272000,0.04912000
0.97237891,0.00280000,0.05104000
0.97246200,0.00280000,0.05056000
0.97246236,0.00280000,0.05048000
0.97238117,0.00280000,0.05096000
0.97243768,0.00280000,0.05080000
0.97248030,0.00280000,0.05032000
0.97240555,0.00280000,0.05088000
0.97243959,0.00280000,0.05072000
0.97245187,0.00280000,0.05064000
0.97251636,0.00280000,0.05024000
0.97254395,0.00280000,0.05016000
0.97247171,0.00280000,0.05040000
0.97199428,0.00288000,0.05272000
0.97197658,0.00288000,0.05280000
0.97096777,0.00288000,0.05616000
0.97095650,0.00288000,0.05624000
0.97092575,0.00288000,0.05632000
0.97088301,0.00288000,0.05640000
0.97088188,0.00288000,0.05648000
0.97088146,0.00288000,0.05656000
0.97087753,0.00288000,0.05664000
0.97084862,0.00288000,0.05688000
0.97082829,0.00288000,0.05696000
0.97081751,0.00288000,0.05704000
0.97080851,0.00288000,0.05712000
0.97194958,0.00288000,0.05288000
0.97219872,0.00288000,0.05168000
0.97218329,0.00288000,0.05176000
0.97176886,0.00288000,0.05352000
0.97208458,0.00288000,0.05232000
0.97206759,0.00288000,0.05240000
0.97164899,0.00288000,0.05416000
0.97191364,0.00288000,0.05296000
0.97185272,0.00288000,0.05304000
0.97183979,0.00288000,0.05312000
0.97142595,0.00288000,0.05480000
0.97176415,0.00288000,0.05360000
0.97174287,0.00288000,0.05368000
0.97171175,0.00288000,0.05376000
0.97168452,0.00288000,0.05384000
0.97168237,0.00288000,0.05392000
0.97166640,0.00288000,0.05400000
0.97165018,0.00288000,0.05408000
0.97164524,0.00288000,0.05424000
0.97158414,0.00288000,0.05432000
0.97156775,0.00288000,0.05440000
0.97155625,0.00288000,0.05448000
0.97154039,0.00288000,0.05456000
0.97153115,0.00288000,0.05464000
0.97149605,0.00288000,0.05472000
0.97235119,0.00288000,0.05120000
0.97234458,0.00288000,0.05128000
0.97226870,0.00288000,0.05136000
0.97226441,0.00288000,0.05144000
0.97225934,0.00288000,0.05152000
0.97220719,0.00288000,0.05160000
0.97104543,0.00288000,0.05584000
0.97101521,0.00288000,0.05592000
0.97101498,0.00288000,0.05600000
0.97097653,0.00288000,0.05608000
0.97132415,0.00288000,0.05488000
0.97131425,0.00288000,0.05496000
0.97130775,0.00288000,0.05504000
0.97128141,0.00288000,0.05512000
0.97210938,0.00288000,0.05216000
0.97209585,0.00288000,0.05224000
